Customer ID,Recency,Frequency,Monetary,r_qt,f_qt,m_quartile,m_qt,RFM Score
200,98,8,9964,4,5,5,5,455
201,14,2,532,5,1,1,1,511
202,171,6,4031,3,4,3,3,343
203,437,3,3021,1,1,2,2,112
204,77,12,7768,4,5,5,5,455
205,148,11,9735,3,5,5,5,355
206,34,6,5144,5,4,4,4,544
207,214,8,5875,3,5,5,5,355
208,326,8,5588,2,5,5,5,255
209,7,7,5038,5,4,4,4,544
210,20,7,4155,5,4,4,4,544
211,133,10,6079,4,5,5,5,455
212,115,6,4938,4,4,4,4,444
213,302,6,6082,2,4,5,5,245
214,206,3,3736,3,1,3,3,313
215,379,4,2784,2,2,2,2,222
216,93,8,7854,4,5,5,5,455
217,119,5,3360,4,3,3,3,433
218,489,8,7871,1,5,5,5,155
219,19,6,2933,5,4,2,2,542
220,209,4,5269,3,2,4,4,324
221,259,6,2053,2,4,2,2,242
222,140,4,4176,3,2,4,4,324
223,28,4,4140,5,2,3,3,523
224,75,6,5223,4,4,4,4,444
225,3,3,3540,5,1,3,3,513
226,42,5,4307,5,3,4,4,534
227,313,4,3567,2,2,3,3,223
228,129,4,3912,4,2,3,3,423
229,331,6,6791,2,4,5,5,245
230,44,10,6747,5,5,5,5,555
231,278,6,1491,2,4,1,1,241
232,290,6,4911,2,4,4,4,244
233,384,5,4571,2,3,4,4,234
234,65,4,1438,4,2,1,1,421
235,378,4,3030,2,2,2,2,222
236,89,10,5901,4,5,5,5,455
237,394,7,5929,2,4,5,5,245
238,28,8,6777,5,5,5,5,555
239,240,7,4426,3,4,4,4,344
240,181,4,3413,3,2,3,3,323
241,207,3,3030,3,1,2,2,312
242,161,3,1952,3,1,1,1,311
243,93,7,3844,4,4,3,3,443
244,304,7,3884,2,4,3,3,243
245,656,3,4414,1,1,4,4,114
246,115,3,2371,4,1,2,2,412
247,627,5,2272,1,3,2,2,132
248,214,6,6769,3,4,5,5,345
249,1206,1,46,1,1,1,1,111
250,97,7,7278,4,4,5,5,445
251,37,8,6656,5,5,5,5,555
252,652,5,4925,1,3,4,4,134
253,47,8,5314,5,5,4,4,554
254,402,4,4580,2,2,4,4,224
255,660,5,3421,1,3,3,3,133
256,137,3,2619,4,1,2,2,412
257,469,4,4220,1,2,4,4,124
258,71,6,4070,4,4,3,3,443
259,190,4,1501,3,2,1,1,321
260,87,6,6729,4,4,5,5,445
261,79,8,4800,4,5,4,4,454
262,140,8,2578,3,5,2,2,352
263,71,8,5443,4,5,4,4,454
264,190,10,6338,3,5,5,5,355
265,84,5,5882,4,3,5,5,435
266,40,7,5236,5,4,4,4,544
267,26,5,3800,5,3,3,3,533
268,406,3,5520,2,1,4,4,214
269,184,7,5529,3,4,4,4,344
270,5,6,2673,5,4,2,2,542
271,57,5,4569,5,3,4,4,534
272,541,3,1164,1,1,1,1,111
273,221,6,4747,3,4,4,4,344
274,474,6,4923,1,4,4,4,144
275,28,3,4475,5,1,4,4,514
276,284,5,4256,2,3,4,4,234
277,141,7,5886,3,4,5,5,345
278,6,10,3978,5,5,3,3,553
279,350,4,4316,2,2,4,4,224
280,373,5,5002,2,3,4,4,234
281,208,2,1522,3,1,1,1,311
282,109,8,8036,4,5,5,5,455
283,218,6,1927,3,4,1,1,341
284,258,3,1741,2,1,1,1,211
285,324,9,7804,2,5,5,5,255
286,451,2,1035,1,1,1,1,111
287,889,1,2270,1,1,2,2,112
288,81,5,4146,4,3,3,3,433
289,265,6,5794,2,4,5,5,245
290,352,4,4081,2,2,3,3,223
291,253,4,2542,2,2,2,2,222
292,318,4,4388,2,2,4,4,224
293,107,5,1023,4,3,1,1,431
294,187,3,2086,3,1,2,2,312
295,122,2,919,4,1,1,1,411
296,568,6,3712,1,4,3,3,143
297,46,11,9973,5,5,5,5,555
298,77,5,4685,4,3,4,4,434
299,513,5,3850,1,3,3,3,133
300,130,6,6255,4,4,5,5,445
301,110,3,2529,4,1,2,2,412
302,46,7,3012,5,4,2,2,542
303,170,4,2202,3,2,2,2,322
304,142,7,3882,3,4,3,3,343
305,177,5,1611,3,3,1,1,331
306,436,4,2936,1,2,2,2,122
307,866,1,162,1,1,1,1,111
308,14,3,1496,5,1,1,1,511
309,336,3,1577,2,1,1,1,211
310,19,3,2026,5,1,2,2,512
311,399,7,4203,2,4,4,4,244
312,543,3,1305,1,1,1,1,111
313,17,9,7423,5,5,5,5,555
314,75,4,1702,4,2,1,1,421
315,128,11,10701,4,5,5,5,455
316,177,3,1004,3,1,1,1,311
317,335,3,3693,2,1,3,3,213
318,106,9,10517,4,5,5,5,455
319,170,5,4310,3,3,4,4,334
320,97,5,2681,4,3,2,2,432
321,671,4,1975,1,2,1,1,121
322,301,5,6348,2,3,5,5,235
323,247,3,1239,2,1,1,1,211
324,2,5,4893,5,3,4,4,534
325,435,8,3468,1,5,3,3,153
326,171,5,5064,3,3,4,4,334
327,43,6,1103,5,4,1,1,541
328,393,6,4262,2,4,4,4,244
329,583,8,6668,1,5,5,5,155
330,385,9,6613,2,5,5,5,255
331,295,5,2519,2,3,2,2,232
332,22,6,2774,5,4,2,2,542
333,144,4,3330,3,2,3,3,323
334,82,5,6496,4,3,5,5,435
335,135,6,7128,4,4,5,5,445
336,880,2,2313,1,1,2,2,112
337,129,4,4010,4,2,3,3,423
338,76,4,5029,4,2,4,4,424
339,152,5,3015,3,3,2,2,332
340,29,10,7807,5,5,5,5,555
341,456,5,2236,1,3,2,2,132
342,107,10,8579,4,5,5,5,455
343,527,5,3439,1,3,3,3,133
344,505,7,5200,1,4,4,4,144
345,2,7,6611,5,4,5,5,545
346,79,5,3956,4,3,3,3,433
347,162,6,3608,3,4,3,3,343
348,187,9,7918,3,5,5,5,355
349,252,4,4422,2,2,4,4,224
350,378,5,1525,2,3,1,1,231
351,238,8,6217,3,5,5,5,355
352,337,3,785,2,1,1,1,211
353,74,7,6682,4,4,5,5,445
354,222,4,3322,3,2,3,3,323
355,286,3,1963,2,1,1,1,211
356,473,4,3902,1,2,3,3,123
357,265,6,5597,2,4,5,5,245
358,32,4,1330,5,2,1,1,521
359,220,5,5185,3,3,4,4,334
360,30,5,4218,5,3,4,4,534
361,32,3,5171,5,1,4,4,514
362,1294,1,48,1,1,1,1,111
363,65,5,3742,4,3,3,3,433
364,86,6,4676,4,4,4,4,444
365,536,3,1479,1,1,1,1,111
366,477,2,2361,1,1,2,2,112
367,97,3,2897,4,1,2,2,412
368,513,2,2552,1,1,2,2,112
369,90,4,3559,4,2,3,3,423
370,155,6,6487,3,4,5,5,345
371,439,5,2836,1,3,2,2,132
372,235,5,3139,3,3,3,3,333
373,1121,2,895,1,1,1,1,111
374,6,7,8298,5,4,5,5,545
375,482,4,2266,1,2,2,2,122
376,130,7,4939,4,4,4,4,444
377,38,6,2696,5,4,2,2,542
378,742,3,1698,1,1,1,1,111
379,432,3,799,1,1,1,1,111
380,51,4,3302,5,2,3,3,523
381,133,4,3193,4,2,3,3,423
382,83,3,3075,4,1,3,3,413
383,157,4,1854,3,2,1,1,321
384,89,6,6279,4,4,5,5,445
385,248,6,5419,2,4,4,4,244
386,76,5,3029,4,3,2,2,432
387,144,3,2634,3,1,2,2,312
388,106,4,2667,4,2,2,2,422
389,22,5,3293,5,3,3,3,533
390,170,3,2129,3,1,2,2,312
391,442,5,3852,1,3,3,3,133
392,199,4,2681,3,2,2,2,322
393,295,5,3049,2,3,2,2,232
394,617,5,5823,1,3,5,5,135
395,228,2,3031,3,1,2,2,312
396,837,5,2875,1,3,2,2,132
397,296,6,2587,2,4,2,2,242
398,69,6,4821,4,4,4,4,444
399,421,4,3747,2,2,3,3,223
400,25,8,3882,5,5,3,3,553
401,73,8,6881,4,5,5,5,455
402,39,9,5054,5,5,4,4,554
403,299,6,5162,2,4,4,4,244
404,93,7,4850,4,4,4,4,444
405,143,2,128,3,1,1,1,311
406,388,8,6256,2,5,5,5,255
407,341,2,1030,2,1,1,1,211
408,457,4,1512,1,2,1,1,121
409,64,9,6780,4,5,5,5,455
410,791,1,48,1,1,1,1,111
411,224,8,2917,3,5,2,2,352
412,51,7,6276,5,4,5,5,545
413,50,3,1617,5,1,1,1,511
414,37,2,2233,5,1,2,2,512
415,897,2,895,1,1,1,1,111
416,325,3,2321,2,1,2,2,212
417,53,4,2298,5,2,2,2,522
418,61,4,2734,5,2,2,2,522
419,85,5,3670,4,3,3,3,433
420,460,5,1126,1,3,1,1,131
421,77,6,3615,4,4,3,3,443
422,550,5,3581,1,3,3,3,133
423,672,3,920,1,1,1,1,111
424,620,5,3822,1,3,3,3,133
425,63,5,3826,4,3,3,3,433
426,182,4,3676,3,2,3,3,323
427,139,5,2848,3,3,2,2,332
428,340,7,4041,2,4,3,3,243
429,20,4,1296,5,2,1,1,521
430,921,3,1499,1,1,1,1,111
431,2,5,1465,5,3,1,1,531
432,146,8,6182,3,5,5,5,355
433,597,2,1892,1,1,1,1,111
434,31,7,5739,5,4,5,5,545
435,19,7,6023,5,4,5,5,545
436,103,3,1753,4,1,1,1,411
437,659,3,2902,1,1,2,2,112
438,78,4,2312,4,2,2,2,422
439,317,3,1664,2,1,1,1,211
440,406,5,2779,2,3,2,2,232
441,218,5,4255,3,3,4,4,334
442,332,3,3823,2,1,3,3,213
443,411,5,1799,2,3,1,1,231
444,102,6,4918,4,4,4,4,444
445,515,5,4364,1,3,4,4,134
446,48,7,5770,5,4,5,5,545
447,537,2,3481,1,1,3,3,113
448,112,3,1619,4,1,1,1,411
449,95,5,3128,4,3,3,3,433
450,408,8,6169,2,5,5,5,255
451,91,6,4863,4,4,4,4,444
452,24,7,3679,5,4,3,3,543
453,392,4,1599,2,2,1,1,221
454,427,5,2245,2,3,2,2,232
455,117,4,3755,4,2,3,3,423
456,232,2,1368,3,1,1,1,311
457,134,5,4531,4,3,4,4,434
458,75,3,2243,4,1,2,2,412
459,413,4,2998,2,2,2,2,222
460,16,8,5625,5,5,5,5,555
461,24,3,1664,5,1,1,1,511
462,40,7,6755,5,4,5,5,545
463,379,4,4989,2,2,4,4,224
464,123,4,2808,4,2,2,2,422
465,960,3,1262,1,1,1,1,111
466,792,3,3536,1,1,3,3,113
467,8,5,1627,5,3,1,1,531
468,254,5,3343,2,3,3,3,233
469,617,6,4627,1,4,4,4,144
470,156,4,1475,3,2,1,1,321
471,88,7,6703,4,4,5,5,445
472,106,5,2797,4,3,2,2,432
473,365,6,3259,2,4,3,3,243
474,285,6,6739,2,4,5,5,245
475,176,2,1270,3,1,1,1,311
476,52,2,1477,5,1,1,1,511
477,192,2,694,3,1,1,1,311
478,792,4,2401,1,2,2,2,122
479,618,3,2961,1,1,2,2,112
480,2,3,619,5,1,1,1,511
481,244,5,4272,3,3,4,4,334
482,170,6,3014,3,4,2,2,342
483,302,8,4369,2,5,4,4,254
484,274,7,6838,2,4,5,5,245
485,245,8,6896,3,5,5,5,355
486,29,10,7081,5,5,5,5,555
487,864,2,378,1,1,1,1,111
488,235,8,5642,3,5,5,5,355
489,372,8,6475,2,5,5,5,255
490,675,4,2970,1,2,2,2,122
491,432,4,5529,1,2,4,4,124
492,61,8,5454,5,5,4,4,554
493,207,8,4838,3,5,4,4,354
494,476,2,1237,1,1,1,1,111
495,155,4,3074,3,2,3,3,323
496,307,4,2617,2,2,2,2,222
497,119,9,6637,4,5,5,5,455
498,239,3,1606,3,1,1,1,311
499,48,8,4406,5,5,4,4,554
500,55,5,5713,5,3,5,5,535
501,512,3,1569,1,1,1,1,111
502,130,4,3891,4,2,3,3,423
503,56,7,5805,5,4,5,5,545
504,419,5,2734,2,3,2,2,232
505,44,10,5308,5,5,4,4,554
506,453,5,3939,1,3,3,3,133
507,779,5,2632,1,3,2,2,132
508,259,4,2951,2,2,2,2,222
509,623,3,1774,1,1,1,1,111
510,428,7,5316,2,4,4,4,244
511,190,5,2638,3,3,2,2,332
512,615,1,1484,1,1,1,1,111
513,4,5,3778,5,3,3,3,533
514,200,3,1527,3,1,1,1,311
515,310,3,908,2,1,1,1,211
516,41,6,7310,5,4,5,5,545
517,146,4,4136,3,2,3,3,323
518,466,7,5979,1,4,5,5,145
519,340,4,2713,2,2,2,2,222
520,303,4,3585,2,2,3,3,223
521,177,5,4765,3,3,4,4,334
522,375,5,4026,2,3,3,3,233
523,830,5,4457,1,3,4,4,134
524,43,7,8464,5,4,5,5,545
525,163,5,2968,3,3,2,2,332
526,10,8,4738,5,5,4,4,554
527,172,6,6463,3,4,5,5,345
528,330,4,5544,2,2,4,4,224
529,244,5,1487,3,3,1,1,331
530,52,9,6240,5,5,5,5,555
531,365,3,2344,2,1,2,2,212
532,865,5,2915,1,3,2,2,132
533,19,8,4470,5,5,4,4,554
534,46,8,6286,5,5,5,5,555
535,169,3,871,3,1,1,1,311
536,596,6,5117,1,4,4,4,144
537,278,2,2236,2,1,2,2,212
538,340,7,3735,2,4,3,3,243
539,107,13,11712,4,5,5,5,455
540,299,5,2003,2,3,2,2,232
541,116,3,1185,4,1,1,1,411
542,163,6,3494,3,4,3,3,343
543,23,4,3103,5,2,3,3,523
544,296,3,426,2,1,1,1,211
545,243,5,4279,3,3,4,4,334
546,125,5,3868,4,3,3,3,433
547,65,6,4793,4,4,4,4,444
548,91,8,8058,4,5,5,5,455
549,337,4,1953,2,2,1,1,221
550,774,3,2274,1,1,2,2,112
551,71,6,6121,4,4,5,5,445
552,108,1,690,4,1,1,1,411
553,1148,3,2011,1,1,2,2,112
554,120,4,2860,4,2,2,2,422
555,116,10,4840,4,5,4,4,454
556,994,2,1364,1,1,1,1,111
557,38,5,2349,5,3,2,2,532
558,39,3,2312,5,1,2,2,512
559,268,5,4823,2,3,4,4,234
560,139,4,5405,3,2,4,4,324
561,391,7,3888,2,4,3,3,243
562,542,2,2372,1,1,2,2,112
563,26,7,6188,5,4,5,5,545
564,635,2,3090,1,1,3,3,113
565,146,7,4279,3,4,4,4,344
566,171,4,1561,3,2,1,1,321
567,88,6,6330,4,4,5,5,445
568,208,6,4154,3,4,4,4,344
569,43,4,4082,5,2,3,3,523
570,300,4,1497,2,2,1,1,221
571,542,1,614,1,1,1,1,111
572,129,8,4664,4,5,4,4,454
573,293,8,5212,2,5,4,4,254
574,334,5,2691,2,3,2,2,232
575,187,6,4424,3,4,4,4,344
576,156,3,1127,3,1,1,1,311
577,68,6,6710,4,4,5,5,445
578,309,5,5112,2,3,4,4,234
579,86,10,6983,4,5,5,5,455
580,511,8,4340,1,5,4,4,154
581,359,4,3364,2,2,3,3,223
582,382,5,2243,2,3,2,2,232
583,119,4,2245,4,2,2,2,422
585,320,3,1620,2,1,1,1,211
586,335,5,3229,2,3,3,3,233
587,596,6,4542,1,4,4,4,144
588,115,3,1516,4,1,1,1,411
589,52,7,3550,5,4,3,3,543
590,429,4,4188,2,2,4,4,224
591,61,3,2491,5,1,2,2,512
592,722,4,3686,1,2,3,3,123
593,271,4,1110,2,2,1,1,221
594,198,10,8049,3,5,5,5,355
595,43,5,6371,5,3,5,5,535
596,376,3,3054,2,1,2,2,212
597,122,3,1644,4,1,1,1,411
598,270,9,6091,2,5,5,5,255
599,265,5,5397,2,3,4,4,234
600,579,5,2946,1,3,2,2,132
601,496,5,3839,1,3,3,3,133
602,639,5,5374,1,3,4,4,134
603,35,4,1215,5,2,1,1,521
604,471,2,741,1,1,1,1,111
605,94,3,1004,4,1,1,1,411
606,27,5,5105,5,3,4,4,534
607,425,5,4026,2,3,3,3,233
608,167,5,3633,3,3,3,3,333
609,23,7,5510,5,4,4,4,544
610,1283,1,1908,1,1,1,1,111
611,222,2,1775,3,1,1,1,311
612,1023,2,233,1,1,1,1,111
614,791,4,5313,1,2,4,4,124
615,88,8,9168,4,5,5,5,455
616,423,4,4295,2,2,4,4,224
617,839,2,1307,1,1,1,1,111
618,223,9,4731,3,5,4,4,354
619,611,4,2676,1,2,2,2,122
620,208,2,2458,3,1,2,2,312
621,36,3,3376,5,1,3,3,513
622,190,2,2604,3,1,2,2,312
623,37,3,2305,5,1,2,2,512
624,427,3,1742,2,1,1,1,211
625,51,9,6726,5,5,5,5,555
626,571,2,3065,1,1,3,3,113
627,157,4,2706,3,2,2,2,322
628,359,4,3255,2,2,3,3,223
629,639,2,1780,1,1,1,1,111
630,39,10,7445,5,5,5,5,555
631,300,5,5561,2,3,4,4,234
632,49,5,1908,5,3,1,1,531
633,60,6,6400,5,4,5,5,545
634,83,9,8027,4,5,5,5,455
635,112,5,2309,4,3,2,2,432
636,418,3,2201,2,1,2,2,212
637,18,6,5034,5,4,4,4,544
638,72,3,3096,4,1,3,3,413
639,303,2,1020,2,1,1,1,211
640,36,9,6128,5,5,5,5,555
641,35,6,4600,5,4,4,4,544
642,72,4,2336,4,2,2,2,422
643,6,4,1429,5,2,1,1,521
644,121,8,4916,4,5,4,4,454
645,17,6,4072,5,4,3,3,543
646,519,3,4312,1,1,4,4,114
647,1200,1,236,1,1,1,1,111
648,4,5,3361,5,3,3,3,533
649,310,5,3233,2,3,3,3,233
650,100,7,7282,4,4,5,5,445
651,70,10,11169,4,5,5,5,455
652,128,5,3174,4,3,3,3,433
653,223,2,2027,3,1,2,2,312
654,640,3,2558,1,1,2,2,112
655,275,8,9755,2,5,5,5,255
656,1006,6,3627,1,4,3,3,143
658,111,3,1740,4,1,1,1,411
659,443,5,1246,1,3,1,1,131
660,399,6,1891,2,4,1,1,241
661,601,3,2142,1,1,2,2,112
662,91,4,952,4,2,1,1,421
663,108,10,6325,4,5,5,5,455
664,573,6,3576,1,4,3,3,143
665,248,5,4463,2,3,4,4,234
666,213,4,3137,3,2,3,3,323
667,129,3,2286,4,1,2,2,412
668,248,10,8318,2,5,5,5,255
669,128,9,5380,4,5,4,4,454
670,186,3,1782,3,1,1,1,311
671,266,7,5952,2,4,5,5,245
672,237,4,3685,3,2,3,3,323
673,62,1,1464,4,1,1,1,411
674,51,7,7268,5,4,5,5,545
675,154,3,2095,3,1,2,2,312
676,579,5,3253,1,3,3,3,133
677,64,6,4186,4,4,4,4,444
678,72,8,4444,4,5,4,4,454
679,338,5,3564,2,3,3,3,233
680,208,3,1067,3,1,1,1,311
681,698,2,2088,1,1,2,2,112
682,107,7,4323,4,4,4,4,444
683,27,6,4341,5,4,4,4,544
684,490,6,1806,1,4,1,1,141
685,9,3,3921,5,1,3,3,513
686,840,2,3126,1,1,3,3,113
687,51,2,1111,5,1,1,1,511
688,57,1,888,5,1,1,1,511
689,16,4,4506,5,2,4,4,524
690,318,3,2282,2,1,2,2,212
691,268,3,4680,2,1,4,4,214
692,99,5,1349,4,3,1,1,431
693,423,3,2895,2,1,2,2,212
694,771,4,2344,1,2,2,2,122
695,314,4,3715,2,2,3,3,223
696,1036,1,268,1,1,1,1,111
697,357,6,3361,2,4,3,3,243
698,475,6,1780,1,4,1,1,141
699,297,7,6082,2,4,5,5,245
700,1000,3,2599,1,1,2,2,112
701,30,2,3426,5,1,3,3,513
702,187,5,2890,3,3,2,2,332
703,1236,2,1478,1,1,1,1,111
704,191,4,1947,3,2,1,1,321
705,178,7,7627,3,4,5,5,345
706,435,4,3754,1,2,3,3,123
707,424,5,6047,2,3,5,5,235
708,288,6,4320,2,4,4,4,244
709,445,5,2890,1,3,2,2,132
710,104,7,9111,4,4,5,5,445
711,127,7,4993,4,4,4,4,444
712,115,6,1712,4,4,1,1,441
713,906,3,2699,1,1,2,2,112
714,122,7,5658,4,4,5,5,445
715,127,6,4236,4,4,4,4,444
716,1230,1,384,1,1,1,1,111
717,204,4,4555,3,2,4,4,324
718,692,3,1180,1,1,1,1,111
719,121,5,4234,4,3,4,4,434
720,230,6,4213,3,4,4,4,344
721,669,3,843,1,1,1,1,111
722,171,8,7060,3,5,5,5,355
723,524,8,7282,1,5,5,5,155
724,333,3,736,2,1,1,1,211
725,508,4,4079,1,2,3,3,123
726,201,4,4166,3,2,4,4,324
727,324,3,3579,2,1,3,3,213
728,160,4,4076,3,2,3,3,323
729,111,5,3204,4,3,3,3,433
730,66,12,11914,4,5,5,5,455
731,359,3,1302,2,1,1,1,211
732,107,7,8588,4,4,5,5,445
733,362,5,5704,2,3,5,5,235
734,291,7,4516,2,4,4,4,244
735,50,5,1832,5,3,1,1,531
736,178,5,2311,3,3,2,2,332
737,209,5,3240,3,3,3,3,333
